OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km
103,6.824112632310000,158.178511229000009,24585.368935499998770,0.909688013136000,0.884571428571000,162.819999999999993,170.520000000000010,155.120000000000005
104,8.979183522740000,171.568563742999999,200603.933874000009382,0.832362521556000,0.959500000000000,478.154999999999973,521.899999999999977,434.410000000000025
105,29.918315741600001,48.719630203700000,524342.794805999961682,0.825318590482000,4.924760000000000,768.450000000000045,841.990000000000009,694.909999999999968
106,22.655032189400000,-1.329267169390000,129198.170626999999513,0.858591454309000,2.737142857140000,385.824999999999989,415.180000000000007,356.470000000000027
107,29.504322258900000,-4.699311342080000,12302.525775199999771,0.902935985882000,0.457111111111000,118.609999999999999,124.659999999999997,112.560000000000002
108,-6.391933223510000,172.302960528000000,18971.642568999999639,0.782563219098000,0.939947368421000,144.860000000000014,162.530000000000001,127.189999999999998
109,-8.212496721739999,-117.081522136999993,131979.550527999992482,0.960459606125000,1.094041666670000,384.750000000000000,392.509999999999991,376.990000000000009
110,-7.131323196060000,-138.245367560000005,144801.789423999987775,0.895806073962000,3.602960000000000,412.935000000000002,435.629999999999995,390.240000000000009
111,3.544928928100000,-89.961531559099996,10233.689809899999091,0.958411040656000,2.674250000000000,105.010000000000005,107.239999999999995,102.780000000000001
112,-10.704064445500000,173.069983411000010,106559.866005000003497,0.949257425743000,2.811560000000000,346.500000000000000,355.519999999999982,337.480000000000018
113,65.638919555599998,-81.588139100099994,89104.914649500002270,0.496836857082000,0.909243243243000,318.235000000000014,425.209999999999980,211.259999999999991
114,-11.007204857400000,-148.681794966000012,60384.805088699999033,0.878753685437000,2.075391304350000,258.074999999999989,274.730000000000018,241.419999999999987
115,-8.966853867210000,-145.731659250000007,148818.793467000010423,0.945191215449000,1.799560000000000,410.980000000000018,422.560000000000002,399.399999999999977
116,32.052339389200000,-115.612135029000001,18362.184511200000998,0.819770684847000,1.019857142860000,146.810000000000002,161.349999999999994,132.270000000000010
117,-59.241620474299999,56.747786471500000,28596.779194200000347,0.853975000000000,0.000000000000000,175.764999999999986,187.229999999999990,164.300000000000011
