,OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km,Topo
102,102,-6.18784182956,-60.7374970725,24300.5273066,0.623925397057,1.51785714286,167.175,205.89,128.46,2526.3281426748154
103,103,6.82411263231,158.178511229,24585.3689355,0.909688013136,0.884571428571,162.82,170.52,155.12,616.4276081290249
104,104,8.97918352274,171.568563743,200603.933874,0.832362521556,0.9595,478.155,521.9,434.41,48.07416508821476
105,105,29.9183157416,48.7196302037,524342.794806,0.825318590482,4.92476,768.45,841.99,694.91,1471.314890051997
106,106,22.6550321894,-1.32926716939,129198.170627,0.858591454309,2.73714285714,385.825,415.18,356.47,2021.1685716689603
107,107,29.5043222589,-4.69931134208,12302.5257752,0.902935985882,0.457111111111,118.61,124.66,112.56,196.2891685328993
108,108,-6.39193322351,172.302960528,18971.642569,0.782563219098,0.939947368421,144.86,162.53,127.19,890.4024451612897
109,109,-8.21249672174,-117.081522137,131979.550528,0.960459606125,1.09404166667,384.75,392.51,376.99,463.4822951509416
110,110,-7.13132319606,-138.24536756,144801.789424,0.895806073962,3.60296,412.935,435.63,390.24,2070.1751229529887
111,111,3.5449289281,-89.9615315591,10233.6898099,0.958411040656,2.67425,105.01,107.24,102.78,1683.1984802426769
112,112,-10.7040644455,173.069983411,106559.866005,0.949257425743,2.81156,346.5,355.52,337.48,2689.928741094608
113,113,65.6389195556,-81.5881391001,89104.9146495,0.496836857082,0.909243243243,318.235,425.21,211.26,-153.78666437412502
114,114,-11.0072048574,-148.681794966,60384.8050887,0.878753685437,2.07539130435,258.075,274.73,241.42,1587.319956957378
115,115,-8.96685386721,-145.73165925,148818.793467,0.945191215449,1.79956,410.98,422.56,399.4,1542.7530804803832
116,116,32.0523393892,-115.612135029,18362.1845112,0.819770684847,1.01985714286,146.81,161.35,132.27,-4.362576529745115
117,117,-59.2416204743,56.7477864715,28596.7791942,0.853975,0.0,175.765,187.23,164.3,344.0951747092306
